category,method,auroc_mean,auroc_sd,ap_mean
wood,PatchScore_byte_budget,0.991812865497076,0.0020257904182091873,0.9975221662513087
wood,RBF_SVDD,0.9824561403508772,0.0008771929824560598,0.9948562514519573
wood,DeepSVDD_head,0.9616959064327487,0.012415715640679703,0.9890158928757501
wood,DROCC_head,0.5055555555555555,0.009622504486493752,0.7621659634317863
wood,Bubble_A,0.9599415204678362,0.023770688990295507,0.9792524880988266
wood,Bubble_B,0.9697368421052631,0.028897484929875664,0.9850996565212434
wood,Bubble_A+D,0.776608187134503,0.18434066692263398,0.8729085022034387
wood,Bubble_B+D,0.768421052631579,0.19362731175427408,0.8675607108351753
zipper,PatchScore_same_centers,0.9844187675070027,0.0026823447909741587,0.9955520411127573
zipper,PatchScore_byte_budget,0.9939600840336137,0.0005252100840336116,0.9983095071965181
zipper,RBF_SVDD,0.8938200280112044,0.0005466559872547375,0.9695162734028694
zipper,DeepSVDD_head,0.9054621848739496,0.029340164573848845,0.9673185208314835
zipper,DROCC_head,0.6655287114845938,0.14570683608718876,0.8782338278176566
zipper,Bubble_A,0.9788602941176471,0.014680655320575898,0.9907965294624107
zipper,Bubble_B,0.9841123949579832,0.012957769420451183,0.993868863049185
zipper,Bubble_A+D,0.9619222689075629,0.0214131829116557,0.9819277886415142
zipper,Bubble_B+D,0.9628851540616247,0.018968253824624512,0.9822482952404338
