track,dataset,class_or_category,seed,variant,selection,selected_epoch,auroc,average_precision,test_count
DeepSVDD,mnist,9,1,soft-boundary,fixed_final_epoch,150,0.9591327920807053,0.9949051376111151,10000
DeepSVDD,mnist,9,2,one-class,fixed_final_epoch,150,0.956908124951292,0.9941610515225294,10000
DeepSVDD,mnist,9,2,soft-boundary,fixed_final_epoch,150,0.940002881419025,0.9917043946793188,10000
DeepSVDD,mnist,9,3,one-class,fixed_final_epoch,150,0.9619939287376794,0.9946704904208964,10000
DeepSVDD,mnist,9,3,soft-boundary,fixed_final_epoch,150,0.9461959481781087,0.9928982902762696,10000
DeepSVDD,mnist,9,4,one-class,fixed_final_epoch,150,0.9626073601406715,0.995146228547793,10000
DeepSVDD,mnist,9,4,soft-boundary,fixed_final_epoch,150,0.9564010657502564,0.9946657724230368,10000
DeepSVDD,mnist,9,5,one-class,fixed_final_epoch,150,0.9600527738398017,0.9942912454849135,10000
DeepSVDD,mnist,9,5,soft-boundary,fixed_final_epoch,150,0.952003209023361,0.9935871449128002,10000
DeepSVDD,mnist,9,6,one-class,fixed_final_epoch,150,0.9605763675800015,0.9945978155176604,10000
DeepSVDD,mnist,9,6,soft-boundary,fixed_final_epoch,150,0.9539126176060434,0.9940615157672413,10000
DeepSVDD,mnist,9,7,one-class,fixed_final_epoch,150,0.9429730358042218,0.9924237593408023,10000
DeepSVDD,mnist,9,7,soft-boundary,fixed_final_epoch,150,0.9390060691679456,0.9919927132727954,10000
DeepSVDD,mnist,9,8,one-class,fixed_final_epoch,150,0.9621907999839946,0.9942438701940611,10000
DeepSVDD,mnist,9,8,soft-boundary,fixed_final_epoch,150,0.9572889153882437,0.9939203107590595,10000
DeepSVDD,mnist,9,9,one-class,fixed_final_epoch,150,0.9660256005372182,0.9953831446935456,10000
DeepSVDD,mnist,9,9,soft-boundary,fixed_final_epoch,150,0.9559221152657998,0.9939964665091555,10000
DeepSVDD,mnist,9,10,one-class,fixed_final_epoch,150,0.9605995159348314,0.9946758238603973,10000
DeepSVDD,mnist,9,10,soft-boundary,fixed_final_epoch,150,0.9487820603336515,0.9934378621860072,10000
DeepSVDD,cifar10,0,1,one-class,fixed_final_epoch,150,0.5997058333333334,0.9066148290858467,10000
DeepSVDD,cifar10,0,1,soft-boundary,fixed_final_epoch,150,0.6077051666666666,0.912519403276485,10000
DeepSVDD,cifar10,0,2,one-class,fixed_final_epoch,150,0.6402591111111111,0.921554114952395,10000
DeepSVDD,cifar10,0,2,soft-boundary,fixed_final_epoch,150,0.6406940555555556,0.9248241886495326,10000
DeepSVDD,cifar10,0,3,one-class,fixed_final_epoch,150,0.6400216666666667,0.9224172233503765,10000
DeepSVDD,cifar10,0,3,soft-boundary,fixed_final_epoch,150,0.6408343888888889,0.9252835458020511,10000
DeepSVDD,cifar10,0,4,one-class,fixed_final_epoch,150,0.6006682222222223,0.9085527540215861,10000
DeepSVDD,cifar10,0,4,soft-boundary,fixed_final_epoch,150,0.6005998333333333,0.9107902624085089,10000
DeepSVDD,cifar10,0,5,one-class,fixed_final_epoch,150,0.6076552222222222,0.9157673563145015,10000
DeepSVDD,cifar10,0,5,soft-boundary,fixed_final_epoch,150,0.5849223333333333,0.9138000965194135,10000
DeepSVDD,cifar10,0,6,one-class,fixed_final_epoch,150,0.6650119444444444,0.9298590245679996,10000
DeepSVDD,cifar10,0,6,soft-boundary,fixed_final_epoch,150,0.6549883333333333,0.9285406518902288,10000
DeepSVDD,cifar10,0,7,one-class,fixed_final_epoch,150,0.6513803888888889,0.9243664229203908,10000
DeepSVDD,cifar10,0,7,soft-boundary,fixed_final_epoch,150,0.6427778888888889,0.9257310689114397,10000
DeepSVDD,cifar10,0,8,one-class,fixed_final_epoch,150,0.6288334444444444,0.9190764758996934,10000
DeepSVDD,cifar10,0,8,soft-boundary,fixed_final_epoch,150,0.6211566666666667,0.9214491429335292,10000
DeepSVDD,cifar10,0,9,one-class,fixed_final_epoch,150,0.5851275555555555,0.9032789600069244,10000
DeepSVDD,cifar10,0,9,soft-boundary,fixed_final_epoch,150,0.6018297222222222,0.9077606064636878,10000
DeepSVDD,cifar10,0,10,one-class,fixed_final_epoch,150,0.6417721666666667,0.9209239223708994,10000
DeepSVDD,cifar10,0,10,soft-boundary,fixed_final_epoch,150,0.63666,0.9241349939269826,10000
DeepSVDD,cifar10,1,1,one-class,fixed_final_epoch,150,0.6161182222222222,0.9362469618155069,10000
DeepSVDD,cifar10,1,1,soft-boundary,fixed_final_epoch,150,0.6087672222222222,0.933839233960318,10000
DeepSVDD,cifar10,1,2,one-class,fixed_final_epoch,150,0.6152389444444445,0.9358135653573504,10000
DeepSVDD,cifar10,1,2,soft-boundary,fixed_final_epoch,150,0.6261513888888889,0.9378329690114564,10000
DeepSVDD,cifar10,1,3,one-class,fixed_final_epoch,150,0.6542888888888889,0.9441392033520767,10000
DeepSVDD,cifar10,1,3,soft-boundary,fixed_final_epoch,150,0.646282,0.9425944018856197,10000
DeepSVDD,cifar10,1,4,one-class,fixed_final_epoch,150,0.6176093888888889,0.9338627904846037,10000
DeepSVDD,cifar10,1,4,soft-boundary,fixed_final_epoch,150,0.6256814444444444,0.9368215937636061,10000
